Vall,lower_state_fit,middle_state_fit,higher_state_fit,transmon_fit
-1.6531351694736842,1.4130807304131912,3.5260849444404556,4.400864432968373,1.4146489235404551
-1.6405341669674187,1.562268537996602,3.5263824813758924,4.401106068928211,1.5641342683960209
-1.627933164461153,1.698682368541397,3.5266971532529405,4.401350453934637,1.700862771151924
-1.6153321619548873,1.8250644739765416,3.5270338278312803,4.401600068082024,1.8275815514968112
-1.6027311594486215,1.9432847530201374,3.527397549171358,4.401856922667985,1.9461655522092283
-1.590130156942356,2.054684154174569,3.527793913328403,4.402122793043365,2.0579613178467913
-1.5775291544360903,2.160261441959777,3.5282294095617144,4.402399351641865,2.1639741021887398
-1.5649281519298246,2.2607825404283233,3.528711797318733,4.402688253354696,2.264977588735075
-1.5523271494235589,2.3568482407943083,3.529250574507402,4.402991197027291,2.3615820666078404
-1.5397261469172934,2.448937950926235,3.5298575993830004,4.403309975145606,2.4542788019308195
-1.5271251444110276,2.5374388308464813,3.530547951644815,4.403646518518205,2.5434700344256758
-1.514524141904762,2.6226654953503536,3.531341162215695,4.404002940277688,2.6294899098105664
-1.5019231393984964,2.704873214863118,3.5322630179611996,4.404381582363346,2.712619485376316
-1.4893221368922307,2.784266203445655,3.5333482821892397,4.404785067184008,2.7930977384917144
-1.476721134385965,2.86100164060961,3.53464491285636,4.405216357121239,2.871129806624954
-1.4641201318796992,2.9351892066724705,3.536220804615991,4.405678824804642,2.9468932647469512
-1.4515191293734337,3.0068848051993005,3.5381749237145845,4.406176337643337,3.0205429826692227
-1.438918126867168,3.076075336245583,3.540656345793386,4.406713360955269,3.0922149360884963
-1.4263171243609023,3.1426480366914067,3.5438979431187265,4.4072950852700625,3.1620292341511926
-1.4137161218546366,3.2063315983779015,3.548277698734098,4.40792758511242,3.230092551741933
-1.401115119348371,3.2665858279660944,3.5544310206265393,4.40861801898811,3.2965001035087824
-1.3885141168421054,3.322409531370944,3.563444474297336,4.409374883671245,3.361337260867987
-1.3759131143358396,3.3720920498444964,3.5771055824952076,4.410208340641281,3.4246808878203097
-1.363312111829574,3.413253786641311,3.597863410685623,4.411130639252024,3.486600453085781
-1.3507111093233084,3.4440191279708396,3.62765657865956,4.412156670841812,3.54715896266483
-1.3381101068170427,3.464877060892872,3.666053429812106,4.41330470187152,3.606413747012335
-1.325509104310777,3.4784066254880246,3.710527247512771,4.4145973543290244,3.6644171295784203
-1.3129081018045112,3.487284201660679,3.758449539335401,4.416062931062731,3.7212169978413137
-1.3003070992982457,3.493336825754135,3.808037210787997,4.417737226754805,3.7768572936523164
-1.28770609679198,3.4976456701473015,3.8582495088695055,4.419666027966799,3.8313784363892855
-1.2751050942857143,3.5008363280758683,3.9084981041186566,4.421908595695557,3.884817689826638
-1.2625040917794488,3.5032795212527374,3.9584467024560097,4.424542548353625,3.937209481597838
-1.249903089273183,3.5052034184752383,4.0078990059001525,4.427670721167984,3.9885856825188006
-1.2373020867669173,3.5067541047007973,4.006934672438517,4.431430737570029,4.038975851759877
-1.2247010842606516,3.5080286115429837,4.051788947269254,4.436008063751221,4.088407452826825
-1.212100081754386,3.5090935409631774,4.094642739738283,4.441652862882892,4.136906044481972
-1.1994990792481204,3.509995950162162,4.135185879920778,4.448699128227995,4.184495450063447
-1.1868980767418547,3.5107699419065503,4.17300782952161,4.45757963662098,4.231197908110576
-1.174297074235589,3.5114407880181324,4.20760337311777,4.468820391613612,4.277034206752108
-1.1616960717293234,3.5120275878392944,4.238427051738767,4.48298631012988,4.322023803941545
-1.1490950692230577,3.512545029171098,4.26502023833483,4.50055425485563,4.366184935314961
-1.136494066716792,3.5130045834566515,4.287184151697151,4.5217401173169005,4.409534711189585
-1.1238930642105263,3.513415334966364,4.305094471631463,4.546384290148692,4.452089204006155
-1.1112920617042608,3.51378456756346,4.31925986131399,4.573993223747491,4.493863527337376
-1.098691059197995,3.5141181874259897,4.330355447215776,4.603906017891351,4.534871907432348
-1.0860900566917293,3.514421032577187,4.339052984812768,4.635464320951022,4.57512774813777
-1.0734890541854638,3.514697102912004,4.34592486666229,4.668108380842637,4.614643689927095
-1.060888051679198,3.5149497334668194,4.351418962171265,4.701402259034308,4.65343166367536
-1.0482870491729324,3.5151817265630974,4.355870894034755,4.735021603185782,4.691502939737376
-1.0356860466666666,3.5153954537402727,4.359527720638538,4.768730009616552,4.7288681728184105
-1.0230850441604011,3.515592935214214,4.3625707504818845,4.802356249976297,4.765537443067414
-1.0104840416541354,3.5157759024203896,4.365133736335289,4.835776114781928,4.801520293771794
-0.9978830391478697,3.515945847687399,4.367316300117258,4.868899023172061,4.83682576598867
-0.985282036641604,3.516104064020202,4.369193514486932,4.901658473178678,4.871462430409166
-0.9726810341353385,3.5162516772112222,4.370822661425997,4.934005312505752,4.905438416718942
-0.9600800316290727,3.516389671947932,4.372247997247138,4.965903000611693,4.938761440689091
-0.947479029122807,3.5165189131841394,4.373504130947319,4.99732425538595,4.971438829206027
-0.9348780266165413,3.516640163746048,4.374618440736016,5.028248659775998,5.003477543426702
-0.9222770241102758,3.5167540989235264,4.375612820807951,5.058660936461842,5.034884200225842
-0.9096760216040101,3.516861318631111,4.376504958204697,5.088549690883118,5.065665092084654
-0.8970750190977443,3.5169623575974516,4.377309276832874,5.117906485685222,5.095826205555159
-0.8844740165914788,3.5170576939456994,4.378037643249501,5.146725152094669,5.125373238420886
-0.8718730140852131,3.5171477564532148,4.3786999000799565,5.175001272466909,5.154311615662666
-0.8592720115789474,3.5172329307214856,4.379304273369593,5.2027317878037405,5.18264650432765
-0.8466710090726817,3.517313564442156,4.379857686751489,5.229914697446564,5.210382827390315
-0.8340700065664162,3.5173899719097537,4.380366006026517,5.256548827429558,5.237525276685713
-0.8214690040601504,3.5174624379037214,4.380834231263011,5.2826336504583296,5.264078324987787
-0.8088680015538847,3.517531221040069,4.381266648943851,5.308169145052301,5.290046237298839
-0.796266999047619,3.5175965566752043,4.381666953424744,5.333155684647129,5.31543308141023
-0.7836659965413535,3.517658659430057,4.382038344618144,5.357593949797388,5.34024273778899
-0.7710649940350878,3.5177177253911256,4.382383607110068,5.381484858322134,5.3644789088401925
-0.758463991528822,3.5177739340355423,4.382705174665101,5.404829509483508,5.388145127590563
-0.7458629890225563,3.5178274499196296,4.383005183148457,5.4276291392110725,5.411244765834876
-0.7332619865162908,3.5178784241640777,4.383285514202676,5.449885084072305,5.433781041783154
-0.7206609840100251,3.5179269957636503,4.38354783149638,5.471598752206648,5.455757027243458
-0.7080599815037596,3.517973292745084,4.383793610968083,5.492771599831976,5.477175654372175
-0.6954589789974936,3.5180174331932004,4.38402416618678,5.513405112231046,5.498039722021061
-0.6828579764912281,3.5180595261623537,4.3842406697191425,5.533500788355006,5.518351901707932
-0.6702569739849626,3.5180996724877804,4.384444171213516,5.5530601283584415,5.53811474323572
-0.6576559714786967,3.51813796550937,4.384635612770916,5.572084623518519,5.55733067998261
-0.6450549689724312,3.518174491718602,4.384815842063256,5.5905757480989475,5.576002033884221
-0.6324539664661653,3.5182093313379066,4.384985623572282,5.608534952804559,5.594131020127131
-0.6198529639598997,3.518242558840461,4.385145648253872,5.625963659539669,5.611719751571535
-0.6072519614536342,3.5182742434173413,4.3852965418773495,5.6428632572369954,5.628770242919472
-0.5946509589473683,3.5183044493980624,4.385438872245323,5.659235098566797,5.645284414643814
-0.5820499564411028,3.5183332366297355,4.3855731554640744,5.675080497370244,5.661264096692011
-0.5694489539348373,3.5183606608194156,4.385699861405593,5.690400726688896,5.676711031977608
