Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
7.84	0.00548442	-4.69823e-05	0.0054809
7.85	0.00549223	-4.70027e-05	0.0054887
7.86	0.00550005	-4.7023e-05	0.0054965
7.87	0.00550786	-4.70431e-05	0.00550431
7.88	0.00551569	-4.7063e-05	0.00551212
7.89	0.00552351	-4.70827e-05	0.00551994
7.9	0.00553134	-4.71023e-05	0.00552775
7.91	0.00553917	-4.71217e-05	0.00553557
7.92	0.005547	-4.7141e-05	0.0055434
7.93	0.00555484	-4.71601e-05	0.00555123
7.94	0.00556268	-4.7179e-05	0.00555906
7.95	0.00557053	-4.71977e-05	0.00556689
7.96	0.00557838	-4.72163e-05	0.00557473
7.97	0.00558623	-4.72347e-05	0.00558257
7.98	0.00559409	-4.7253e-05	0.00559042
7.99	0.00560195	-4.72711e-05	0.00559827
8	0.00560981	-4.7289e-05	0.00560612
